Size,Low,High,Rate
1,0,16106,0.02
1,16107,17505,0.04
1,17506,23340,0.063
1,23341,29175,0.0805
1,29176,35010,0.095
1,35011,46680,0.095
2,0,21709,0.02
2,21710,23595,0.04
2,23596,31460,0.063
2,31461,39325,0.0805
2,39326,47190,0.095
2,47191,62920,0.095
3,0,27312,0.02
3,27313,29685,0.04
3,29686,39580,0.063
3,39581,49475,0.0805
3,49476,59370,0.095
3,59371,79160,0.095
4,0,32914,0.02
4,32915,35775,0.04
4,35776,47700,0.063
4,47701,59625,0.0805
4,59626,71550,0.095
4,71551,95400,0.095
5,0,38517,0.02
5,38518,41865,0.04
5,41866,55820,0.063
5,55821,69775,0.0805
5,69776,83730,0.095
5,83731,111640,0.095
6,0,44120,0.02
6,44121,47955,0.04
6,47956,63940,0.063
6,63941,79925,0.0805
6,79926,95910,0.095
6,95911,127880,0.095
7,0,49723,0.02
7,49724,54045,0.04
7,54046,72060,0.063
7,72061,90075,0.0805
7,90076,108090,0.095
7,108091,144120,0.095
8,0,55326,0.02
8,55327,60135,0.04
8,60136,80180,0.063
8,80181,100225,0.0805
8,100226,120270,0.095
8,120271,160360,0.095
