Region,Age Range,Silver
Northern Counties,21-35,268
Northern Counties,36-50,341
Northern Counties,51-65,724
"Marin, Napa, Solano & Sonoma",21-35,284
"Marin, Napa, Solano & Sonoma",36-50,362
"Marin, Napa, Solano & Sonoma",51-65,769
Greater Sacramento,21-35,280
Greater Sacramento,36-50,356
Greater Sacramento,51-65,756
San Francisco County,21-35,309
San Francisco County,36-50,393
San Francisco County,51-65,836
Contra Costa County,21-35,280
Contra Costa County,36-50,356
Contra Costa County,51-65,756
Alameda County,21-35,287
Alameda County,36-50,365
Alameda County,51-65,776
Santa Clara County,21-35,278
Santa Clara County,36-50,354
Santa Clara County,51-65,752
San Mateo County,21-35,309
San Mateo County,36-50,393
San Mateo County,51-65,836
"Monterey, San Benito & Santa Cruz",21-35,304
"Monterey, San Benito & Santa Cruz",36-50,387
"Monterey, San Benito & Santa Cruz",51-65,823
"San Joaquin, Stanislaus, Merced, Mariposa & Tulare",21-35,250
"San Joaquin, Stanislaus, Merced, Mariposa & Tulare",36-50,319
"San Joaquin, Stanislaus, Merced, Mariposa & Tulare",51-65,676
"Fresno, Kings, Madera",21-35,238
"Fresno, Kings, Madera",36-50,304
"Fresno, Kings, Madera",51-65,645
"San Luis Obispo, Santa Barbara, Ventura",21-35,268
"San Luis Obispo, Santa Barbara, Ventura",36-50,341
"San Luis Obispo, Santa Barbara, Ventura",51-65,725
"Mono, Inyo, Imperial",21-35,322
"Mono, Inyo, Imperial",36-50,410
"Mono, Inyo, Imperial",51-65,871
Kern,21-35,233
Kern,36-50,296
Kern,51-65,629
Los Angeles,21-35,202
Los Angeles,36-50,257
Los Angeles,51-65,546
"San Bernardino, Riverside",21-35,205
"San Bernardino, Riverside",36-50,261
"San Bernardino, Riverside",51-65,554
Orange County,21-35,240
Orange County,36-50,305
Orange County,51-65,648
San Diego County,21-35,247
San Diego County,36-50,314
San Diego County,51-65,666
